Timestamp, Message
2023/04/05 09:47:59,GameEvent raised: UploadComplete
2023/04/05 09:48:00,GameEvent raised: On Begin Scan
2023/04/05 09:48:00,Refined scan thread successfully created and executed in 328.4383 milliseconds.
2023/04/05 09:48:00,GameEvent raised: NewPreview
2023/04/05 09:48:00,Refined scan successfully copied to preview mats in 0 milliseconds.
2023/04/05 09:48:00,GameEvent raised: AcceptScan
2023/04/05 09:48:00,GameEvent raised: ScanAdded
2023/04/05 09:48:00,GameEvent raised: UploadComplete
2023/04/05 09:48:01,GameEvent raised: On Begin Scan
2023/04/05 09:48:01,Refined scan thread successfully created and executed in 326.0257 milliseconds.
2023/04/05 09:48:01,GameEvent raised: NewPreview
2023/04/05 09:48:01,Refined scan successfully copied to preview mats in 1.0055 milliseconds.
2023/04/05 09:48:02,GameEvent raised: AcceptScan
2023/04/05 09:48:02,GameEvent raised: ScanAdded
2023/04/05 09:48:02,GameEvent raised: UploadComplete
2023/04/05 09:48:12,Resetting timeout to 9:48:27 AM
2023/04/05 09:48:12,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 1951; shouldBePlaying: True; saved webCamTextureID: -376; current ID: -376; lastUpdateCount: 1549
2023/04/05 09:48:19,GameEvent raised: On Begin Scan
2023/04/05 09:48:19,Refined scan thread successfully created and executed in 312.9927 milliseconds.
2023/04/05 09:48:19,GameEvent raised: NewPreview
2023/04/05 09:48:19,Refined scan successfully copied to preview mats in 2.509 milliseconds.
2023/04/05 09:48:20,GameEvent raised: AcceptScan
2023/04/05 09:48:20,GameEvent raised: ScanAdded
2023/04/05 09:48:20,GameEvent raised: UploadComplete
2023/04/05 09:48:20,GameEvent raised: On Begin Scan
2023/04/05 09:48:21,Refined scan thread successfully created and executed in 322.7259 milliseconds.
2023/04/05 09:48:21,GameEvent raised: NewPreview
2023/04/05 09:48:21,Refined scan successfully copied to preview mats in 2.0011 milliseconds.
2023/04/05 09:48:21,GameEvent raised: AcceptScan
2023/04/05 09:48:21,GameEvent raised: ScanAdded
2023/04/05 09:48:21,GameEvent raised: UploadComplete
2023/04/05 09:48:21,GameEvent raised: On Begin Scan
2023/04/05 09:48:22,Refined scan thread successfully created and executed in 327.7177 milliseconds.
2023/04/05 09:48:22,GameEvent raised: NewPreview
2023/04/05 09:48:22,Refined scan successfully copied to preview mats in 1.9991 milliseconds.
2023/04/05 09:48:22,GameEvent raised: AcceptScan
2023/04/05 09:48:22,GameEvent raised: ScanAdded
2023/04/05 09:48:22,GameEvent raised: UploadComplete
2023/04/05 09:48:22,GameEvent raised: On Begin Scan
2023/04/05 09:48:23,Refined scan thread successfully created and executed in 316.8786 milliseconds.
2023/04/05 09:48:23,GameEvent raised: NewPreview
2023/04/05 09:48:23,Refined scan successfully copied to preview mats in 1.0011 milliseconds.
2023/04/05 09:48:23,GameEvent raised: AcceptScan
2023/04/05 09:48:23,GameEvent raised: ScanAdded
2023/04/05 09:48:23,GameEvent raised: UploadComplete
2023/04/05 09:48:23,GameEvent raised: On Begin Scan
2023/04/05 09:48:24,Refined scan thread successfully created and executed in 326.4497 milliseconds.
2023/04/05 09:48:24,GameEvent raised: NewPreview
2023/04/05 09:48:24,Refined scan successfully copied to preview mats in 1.0012 milliseconds.
2023/04/05 09:48:24,GameEvent raised: AcceptScan
2023/04/05 09:48:24,GameEvent raised: ScanAdded
2023/04/05 09:48:24,GameEvent raised: UploadComplete
2023/04/05 09:48:24,GameEvent raised: On Begin Scan
2023/04/05 09:48:25,Refined scan thread successfully created and executed in 305.3686 milliseconds.
2023/04/05 09:48:25,GameEvent raised: NewPreview
2023/04/05 09:48:25,Refined scan successfully copied to preview mats in 0.9998 milliseconds.
2023/04/05 09:48:25,GameEvent raised: AcceptScan
2023/04/05 09:48:25,GameEvent raised: ScanAdded
2023/04/05 09:48:25,GameEvent raised: UploadComplete
2023/04/05 09:48:25,GameEvent raised: On Begin Scan
2023/04/05 09:48:26,Refined scan thread successfully created and executed in 316.1704 milliseconds.
2023/04/05 09:48:26,GameEvent raised: NewPreview
2023/04/05 09:48:26,Refined scan successfully copied to preview mats in 1.0089 milliseconds.
2023/04/05 09:48:26,GameEvent raised: AcceptScan
2023/04/05 09:48:26,GameEvent raised: ScanAdded
2023/04/05 09:48:26,GameEvent raised: UploadComplete
2023/04/05 09:48:27,GameEvent raised: On Begin Scan
2023/04/05 09:48:27,Refined scan thread successfully created and executed in 320.4218 milliseconds.
2023/04/05 09:48:27,GameEvent raised: NewPreview
2023/04/05 09:48:27,Refined scan successfully copied to preview mats in 1.0042 milliseconds.
2023/04/05 09:48:27,GameEvent raised: AcceptScan
2023/04/05 09:48:27,GameEvent raised: ScanAdded
2023/04/05 09:48:27,GameEvent raised: UploadComplete
2023/04/05 09:48:27,Resetting timeout to 9:48:42 AM
2023/04/05 09:48:27,Checking devices... webCamTexture is null: False; isPlaying: True; updateCount: 2401; shouldBePlaying: True; saved webCamTextureID: -376; current ID: -376; lastUpdateCount: 1951
2023/04/05 09:48:28,GameEvent raised: On Begin Scan
2023/04/05 09:48:28,Refined scan thread successfully created and executed in 325.7604 milliseconds.
2023/04/05 09:48:28,GameEvent raised: NewPreview
2023/04/05 09:48:28,Refined scan successfully copied to preview mats in 0.9949 milliseconds.
2023/04/05 09:48:28,GameEvent raised: AcceptScan
2023/04/05 09:48:28,GameEvent raised: ScanAdded
2023/04/05 09:48:28,GameEvent raised: UploadComplete
2023/04/05 09:48:29,GameEvent raised: On Begin Scan
2023/04/05 09:48:29,Refined scan thread successfully created and executed in 323.0021 milliseconds.
2023/04/05 09:48:29,GameEvent raised: NewPreview
2023/04/05 09:48:29,Refined scan successfully copied to preview mats in 1.9989 milliseconds.
2023/04/05 09:48:29,GameEvent raised: AcceptScan
2023/04/05 09:48:29,GameEvent raised: ScanAdded
2023/04/05 09:48:29,GameEvent raised: UploadComplete
2023/04/05 09:48:30,GameEvent raised: On Begin Scan
2023/04/05 09:48:30,Refined scan thread successfully created and executed in 318.047 milliseconds.
2023/04/05 09:48:30,GameEvent raised: NewPreview
2023/04/05 09:48:30,Refined scan successfully copied to preview mats in 1.0019 milliseconds.
2023/04/05 09:48:30,GameEvent raised: AcceptScan
2023/04/05 09:48:30,GameEvent raised: ScanAdded
2023/04/05 09:48:30,GameEvent raised: UploadComplete
2023/04/05 09:48:31,GameEvent raised: On Begin Scan
2023/04/05 09:48:31,Refined scan thread successfully created and executed in 348.5348 milliseconds.
2023/04/05 09:48:31,GameEvent raised: NewPreview
2023/04/05 09:48:31,Refined scan successfully copied to preview mats in 1.0053 milliseconds.
2023/04/05 09:48:31,GameEvent raised: AcceptScan
2023/04/05 09:48:31,GameEvent raised: ScanAdded
2023/04/05 09:48:31,GameEvent raised: UploadComplete
2023/04/05 09:48:32,GameEvent raised: On Begin Scan
2023/04/05 09:48:32,Refined scan thread successfully created and executed in 323.1404 milliseconds.
2023/04/05 09:48:32,GameEvent raised: NewPreview
2023/04/05 09:48:32,Refined scan successfully copied to preview mats in 0.9986 milliseconds.
2023/04/05 09:48:32,GameEvent raised: AcceptScan
2023/04/05 09:48:32,GameEvent raised: ScanAdded
2023/04/05 09:48:32,GameEvent raised: UploadComplete
2023/04/05 09:48:33,GameEvent raised: On Begin Scan
2023/04/05 09:48:33,Refined scan thread successfully created and executed in 316.4656 milliseconds.
2023/04/05 09:48:33,GameEvent raised: NewPreview
2023/04/05 09:48:33,Refined scan successfully copied to preview mats in 1.0034 milliseconds.
2023/04/05 09:48:33,GameEvent raised: AcceptScan
2023/04/05 09:48:33,GameEvent raised: ScanAdded
2023/04/05 09:48:33,GameEvent raised: UploadComplete
2023/04/05 09:48:34,GameEvent raised: On Begin Scan
2023/04/05 09:48:34,Refined scan thread successfully created and executed in 315.0228 milliseconds.
2023/04/05 09:48:34,GameEvent raised: NewPreview
2023/04/05 09:48:34,Refined scan successfully copied to preview mats in 1.0047 milliseconds.
2023/04/05 09:48:34,GameEvent raised: AcceptScan
2023/04/05 09:48:34,GameEvent raised: ScanAdded
2023/04/05 09:48:34,GameEvent raised: UploadComplete
2023/04/05 09:48:35,GameEvent raised: On Begin Scan
2023/04/05 09:48:35,Refined scan thread successfully created and executed in 318.7825 milliseconds.
2023/04/05 09:48:35,GameEvent raised: NewPreview
2023/04/05 09:48:35,Refined scan successfully copied to preview mats in 0.998 milliseconds.
2023/04/05 09:48:35,GameEvent raised: AcceptScan
2023/04/05 09:48:35,GameEvent raised: ScanAdded
2023/04/05 09:48:35,GameEvent raised: UploadComplete
2023/04/05 09:48:36,GameEvent raised: On Begin Scan
2023/04/05 09:48:36,Refined scan thread successfully created and executed in 310.544 milliseconds.
2023/04/05 09:48:36,GameEvent raised: NewPreview
2023/04/05 09:48:36,Refined scan successfully copied to preview mats in 1.0119 milliseconds.
2023/04/05 09:48:36,GameEvent raised: AcceptScan
2023/04/05 09:48:36,GameEvent raised: ScanAdded
2023/04/05 09:48:36,GameEvent raised: UploadComplete
2023/04/05 09:48:37,GameEvent raised: On Begin Scan
2023/04/05 09:48:37,Refined scan thread successfully created and executed in 319.0944 milliseconds.
2023/04/05 09:48:37,GameEvent raised: NewPreview
2023/04/05 09:48:37,Refined scan successfully copied to preview mats in 2.0019 milliseconds.
2023/04/05 09:48:37,GameEvent raised: AcceptScan
2023/04/05 09:48:37,GameEvent raised: ScanAdded
2023/04/05 09:48:37,GameEvent raised: UploadComplete
2023/04/05 09:48:38,GameEvent raised: On Begin Scan
2023/04/05 09:48:38,Refined scan thread successfully created and executed in 327.8765 milliseconds.
2023/04/05 09:48:38,GameEvent raised: NewPreview
2023/04/05 09:48:38,Refined scan successfully copied to preview mats in 2.1739 milliseconds.
2023/04/05 09:48:38,GameEvent raised: AcceptScan
2023/04/05 09:48:38,GameEvent raised: ScanAdded
2023/04/05 09:48:38,GameEvent raised: UploadComplete
2023/04/05 09:48:39,GameEvent raised: On Begin Scan
2023/04/05 09:48:39,Refined scan thread successfully created and executed in 368.8123 milliseconds.
2023/04/05 09:48:39,GameEvent raised: NewPreview
